Productid,ProductName,Approxweight,SellStartYear,SellStartMonth
680,"HL ROAD FRAME - BLACK, 58",1016.00,2002,June
706,"HL ROAD FRAME - RED, 58",1016.00,2002,June
707,"SPORT-100 HELMET, RED",,2005,July
708,"SPORT-100 HELMET, BLACK",,2005,July
709,"MOUNTAIN BIKE SOCKS, M",,2005,July
710,"MOUNTAIN BIKE SOCKS, L",,2005,July
711,"SPORT-100 HELMET, BLUE",,2005,July
712,AWC LOGO CAP,,2005,July
713,"LONG-SLEEVE LOGO JERSEY, S",,2005,July
714,"LONG-SLEEVE LOGO JERSEY, M",,2005,July
715,"LONG-SLEEVE LOGO JERSEY, L",,2005,July
716,"LONG-SLEEVE LOGO JERSEY, XL",,2005,July
717,"HL ROAD FRAME - RED, 62",1043.00,2005,July
718,"HL ROAD FRAME - RED, 44",962.00,2005,July
719,"HL ROAD FRAME - RED, 48",980.00,2005,July
720,"HL ROAD FRAME - RED, 52",998.00,2005,July
721,"HL ROAD FRAME - RED, 56",1016.00,2005,July
722,"LL ROAD FRAME - BLACK, 58",1116.00,2005,July
723,"LL ROAD FRAME - BLACK, 60",1125.00,2005,July
724,"LL ROAD FRAME - BLACK, 62",1134.00,2005,July
725,"LL ROAD FRAME - RED, 44",1052.00,2005,July
726,"LL ROAD FRAME - RED, 48",1070.00,2005,July
727,"LL ROAD FRAME - RED, 52",1089.00,2005,July
728,"LL ROAD FRAME - RED, 58",1116.00,2005,July
729,"LL ROAD FRAME - RED, 60",1125.00,2005,July
730,"LL ROAD FRAME - RED, 62",1134.00,2005,July
731,"ML ROAD FRAME - RED, 44",1007.00,2005,July
732,"ML ROAD FRAME - RED, 48",1025.00,2005,July
733,"ML ROAD FRAME - RED, 52",1043.00,2005,July
734,"ML ROAD FRAME - RED, 58",1070.00,2005,July
735,"ML ROAD FRAME - RED, 60",1080.00,2005,July
736,"LL ROAD FRAME - BLACK, 44",1052.00,2005,July
737,"LL ROAD FRAME - BLACK, 48",1070.00,2005,July
738,"LL ROAD FRAME - BLACK, 52",1089.00,2005,July
739,"HL MOUNTAIN FRAME - SILVER, 42",1234.00,2005,July
740,"HL MOUNTAIN FRAME - SILVER, 44",1252.00,2005,July
741,"HL MOUNTAIN FRAME - SILVER, 48",1270.00,2005,July
742,"HL MOUNTAIN FRAME - SILVER, 46",1288.00,2005,July
743,"HL MOUNTAIN FRAME - BLACK, 42",1234.00,2005,July
744,"HL MOUNTAIN FRAME - BLACK, 44",1252.00,2005,July
745,"HL MOUNTAIN FRAME - BLACK, 48",1270.00,2005,July
746,"HL MOUNTAIN FRAME - BLACK, 46",1288.00,2005,July
747,"HL MOUNTAIN FRAME - BLACK, 38",1216.00,2005,July
748,"HL MOUNTAIN FRAME - SILVER, 38",1216.00,2005,July
749,"ROAD-150 RED, 62",6804.00,2005,July
750,"ROAD-150 RED, 44",6246.00,2005,July
751,"ROAD-150 RED, 48",6409.00,2005,July
752,"ROAD-150 RED, 52",6541.00,2005,July
753,"ROAD-150 RED, 56",6659.00,2005,July
754,"ROAD-450 RED, 58",8069.00,2005,July
755,"ROAD-450 RED, 60",8119.00,2005,July
756,"ROAD-450 RED, 44",7607.00,2005,July
757,"ROAD-450 RED, 48",7770.00,2005,July
758,"ROAD-450 RED, 52",7902.00,2005,July
759,"ROAD-650 RED, 58",8977.00,2005,July
760,"ROAD-650 RED, 60",9026.00,2005,July
761,"ROAD-650 RED, 62",9072.00,2005,July
762,"ROAD-650 RED, 44",8514.00,2005,July
763,"ROAD-650 RED, 48",8677.00,2005,July
764,"ROAD-650 RED, 52",8809.00,2005,July
765,"ROAD-650 BLACK, 58",8977.00,2005,July
766,"ROAD-650 BLACK, 60",9026.00,2005,July
767,"ROAD-650 BLACK, 62",9072.00,2005,July
768,"ROAD-650 BLACK, 44",8514.00,2005,July
769,"ROAD-650 BLACK, 48",8677.00,2005,July
770,"ROAD-650 BLACK, 52",8809.00,2005,July
771,"MOUNTAIN-100 SILVER, 38",9231.00,2005,July
772,"MOUNTAIN-100 SILVER, 42",9421.00,2005,July
773,"MOUNTAIN-100 SILVER, 44",9584.00,2005,July
